vin_min,vin_max,vout_target,efficiency_target,power_in
27.66,2049.77,54.13,0.98,498.46
0.74,41.12,28.68,0.95,110.05
51.48,1083.52,65.26,0.92,69.9
0.5,66.27,49.56,0.75,110.59
0.91,129.87,58.77,0.83,402.18
34.48,2570.12,55.45,0.95,360.43
1.33,162.13,97.18,0.88,108.72
41.57,5267.16,62.39,0.87,466.41
6.79,1501.38,19.55,0.93,98.28
68.69,4676.94,83.72,0.79,286.31
41.45,4737.18,60.29,0.9,341.08
0.2,29.68,18.6,0.89,245.25
41.95,7108.58,79.95,0.86,106.04
1.2,221.98,79.11,0.85,356.98
11.25,908.0,23.65,0.79,138.75
0.6,70.65,36.0,0.86,351.16
0.23,28.41,12.61,0.83,342.57
45.89,4004.91,87.6,0.79,98.45
37.62,6908.19,78.36,0.92,487.09
0.62,94.66,41.71,0.97,333.84
2.24,97.28,39.51,0.91,358.16
0.49,56.66,37.63,0.88,447.2
0.68,135.31,49.49,0.86,68.79
66.88,5421.19,83.41,0.92,417.01
32.5,7584.36,92.2,0.84,332.47
1.24,70.3,32.92,0.8,215.81
19.83,2209.9,55.59,0.78,254.19
14.83,1886.31,28.16,0.79,198.85
32.84,3933.04,88.33,0.78,145.19
0.27,31.18,22.59,0.97,253.23
0.2,23.77,18.91,0.89,237.15
12.56,461.84,22.72,0.88,118.18
38.74,3161.55,48.81,0.95,243.45
3.87,125.6,49.66,0.83,414.25
6.24,911.49,9.39,0.88,17.85
1.07,179.5,83.38,0.78,292.25
41.74,6827.31,98.98,0.98,498.5
2.17,144.79,69.96,0.93,94.54
10.44,2052.77,23.61,0.97,101.29
30.62,5859.12,73.71,0.87,45.53
2.69,197.07,95.14,0.91,484.89
0.59,154.06,52.19,0.9,98.74
43.58,5542.01,90.4,0.85,464.65
0.54,55.42,31.25,0.8,100.0
25.36,2361.36,50.6,0.89,280.37
0.81,90.93,73.69,0.93,449.47
0.15,36.79,13.88,0.85,327.64
36.47,1092.29,46.12,0.82,211.12
13.61,757.67,29.09,0.79,132.98
44.43,6135.82,95.48,0.85,377.88
1.32,171.09,79.43,0.82,432.27
0.43,76.56,32.16,0.9,30.67
24.33,5082.75,67.54,0.84,255.55
45.35,5200.24,97.96,0.94,444.13
14.98,2399.33,35.66,0.88,290.72
0.71,100.04,41.72,0.81,86.8
12.16,2488.21,35.92,0.92,256.12
1.97,247.55,98.9,0.81,41.14
